Metadata_id,Metadata_condition,Metadata_dose,Metadata_matrix,TrackObjects_Label,Track_Angle,Track_Integrated_Distance_Traveled,Track_DP,Track_Length,Track_Life_Time,Track_One_Cell,Track_MSD,Track_Positive_Sector,Track_Negative_Sector,Track_Neutral_Sector_Up,Track_Neutral_Sector_Down,Track_Sector,Track_Speed_max,Track_Speed,Track_Speed_Y,Track_Speed_X,Track_xFMI,Track_yFMI,Track_Directionality,Track_Distance_Traveled,Track_CI
E6,CP17,50,HEM,194,2.922005748191601,119.17677510559348,2,57,57,TRUE,5.191607810224753,1,0,0,0,1,11.902432639183935,0.6582169361583564,0.2459586373761725,-1.537675795041447,-1.5027068792072482,0.23647945830049902,0.8671582722220874,0.8886294178930151,1.0450990491085845
E6,CP17,50,HEM,195,2.7086289032956072,86.94479568285341,2,56,56,TRUE,6.559761260977841,1,0,0,0,1,7.755369347018212,-0.018354361409079045,0.38660070664967316,-0.887649872793583,-1.2613702819425014,0.5633555884205607,0.6828255616344955,0.30574285138463464,0.9461427091825007
E6,CP17,50,HEM,196,-2.3776808652882453,108.91086546879724,2,52,52,TRUE,23.86018039149729,1,0,0,0,1,10.500325762918731,0.6673028703548523,-1.4947761243017395,-1.0523143029690032,-1.0125078157335137,-1.4605095899615501,0.8388361982356576,0.7141509556903823,0.6770973192619442
E6,CP17,50,HEM,197,-2.5998868040925234,146.43428941683302,2,98,98,TRUE,4.290760148497462,1,0,0,0,1,8.018135504218723,-0.10634339823856269,-0.6260724929921003,-0.4410004809234175,-0.7064319832346502,-0.7972741668247377,-0.12038905770806772,0.5068325181763511,0.8723604708765303
E6,CP17,50,HEM,198,2.844920840455923,60.87475041740037,2,36,36,TRUE,1.444480089936751,1,0,0,0,1,9.064627707408746,0.17752358607004667,0.0755412604114063,-0.5000012476275919,-0.6419742730749239,0.12424262580792479,-0.4056831631564153,-0.4339076647105824,1.0165800080702614
E6,CP17,50,HEM,209,2.210860645361057,205.16115456507757,1,113,113,TRUE,5.440086628099537,0,0,1,0,3,25.01505824369788,0.2918846576942425,0.030155923280657346,0.14544460008682292,0.15724070926607844,0.05768729231597659,-1.4812015221938324,-0.4574175514415816,0.49605008869819284
E6,CP17,50,HEM,21,1.4175175046654735,75.39674634144441,1,91,91,TRUE,0.3500349717169637,0,0,1,0,3,7.50028758584923,-0.9368688252798718,-0.1488335131269752,0.2966587768126057,0.338030673832662,-0.11289530941413192,-1.8156748356995112,-0.9013910266316552,-0.5910961302299684
E6,CP17,50,HEM,210,-2.6281906569301694,43.24693137805467,1,28,28,TRUE,0.7196731976049874,1,0,0,0,1,9.887919194214188,0.007509523837380229,-0.47292259622620314,-0.22551685588715087,-0.36048075533031476,-0.562492147747868,-0.736404674578312,-0.6592266476348502,0.8930157953937955
E6,CP17,50,HEM,212,-2.1300717814267585,185.47903242635047,1,106,106,TRUE,4.208043934899868,0,0,0,1,4,11.004640490086095,0.21113123534627035,-0.5799099334887289,0.04470918782955149,0.029485291365347062,-0.6521633570284847,-1.0721028513884197,-0.08395434673637918,0.3993935223811566
E6,CP17,50,HEM,221,-2.731491988464289,232.56212767730517,2,106,106,TRUE,13.587337554051304,1,0,0,0,1,31.150012220850588,0.7654126515058173,-0.9705894848201188,-1.495625905056025,-1.3905780278682605,-0.9220831490185116,0.864597660959396,2.624006454236102,0.9597035569969053
E6,CP17,50,HEM,223,0.7320859679824916,125.31126531916695,1,53,53,TRUE,17.388405531808203,0,1,0,0,2,49.838716061774484,1.0063966135181472,-0.011975095587012171,0.4678010182442842,0.48317728556044887,-0.03403684943575259,-1.5987228352398895,-0.7262389937374409,-1.4479999006983189
E6,CP17,50,HEM,228,0.15106506782138623,52.88039450128198,1,46,46,TRUE,0.999777865555992,0,1,0,0,2,6.08320693240768,-0.5198346033445205,-0.14829513855824153,0.45175945340296275,0.6163736418525094,-0.12922676129921004,-1.4756243794824493,-0.8131277666186795,-1.8029222432001997
