Metadata_matrix,Metadata_id,Metadata_condition,Metadata_dose,Track_Sector,mean directionality,sem directionality,mean speed,sem speed,mean xFMI,sem xFMI,mean yFMI,sem yFMI,n,n_per_experiment,fraction per sector in %
FN,C2,CP17,50,4,-1.0291059645301661,0.4159754641243967,0.20694937155240814,0.545397537407336,0.06864413919867922,0.12898159894522798,-0.9414966126028591,0.14433399214255185,16,76,0.21052631578947367
FN,C3,CP17,5,1,-0.4924110764295887,0.40402472789674104,-0.2817920925233799,0.33457559863132297,-0.6862688517643541,0.21644635279693134,-0.8743786324410471,0.2600469744969848,8,25,0.32
FN,C3,CP17,5,2,-1.1578253855075826,NA,0.4533196953475103,NA,0.22712392591482125,NA,-0.5491786876386919,NA,1,25,0.04
FN,C3,CP17,5,3,-0.15533185378518305,0.5358833552344602,-0.49287784462983303,0.5617969416032308,-0.14741269054083841,0.3148708764597975,0.7232078229464841,0.4151629940602434,5,25,0.2
FN,C3,CP17,5,4,-0.15685872601823725,0.31723320919514836,-0.43211551656332,0.2741416572043964,-0.1490922100154892,0.1828791053377517,-1.658156312142369,0.2549572693074333,11,25,0.44
FN,C3,CP17,50,1,-0.3728704452978454,0.17556704326087796,-0.7084797809612547,0.14182987287454685,-0.8045395232012627,0.1069842837154101,-0.39380378562436913,0.1022167707537595,33,91,0.3626373626373626
FN,C3,CP17,50,2,-0.2791791340660973,0.30035164334724107,-0.670855714038188,0.17225162281699222,0.6727264069047141,0.15240645688286,-0.30836127991305556,0.27812023740765895,11,91,0.12087912087912088
FN,C3,CP17,50,3,-0.49575808922274167,0.16882217284239862,-0.9122415580378186,0.15591867244299504,-0.09459971755411271,0.06508832455354237,0.5040705601782128,0.15239248884196116,29,91,0.31868131868131866
FN,C3,CP17,50,4,0.16029780853616118,0.18745411293369474,-0.2934226927715275,0.11790770226498708,0.05029786229301422,0.14464625833950945,-1.925179746759853,0.1602114722889219,18,91,0.1978021978021978
FN,C4,CP17,5,1,-0.45251002674090823,0.32859788011262314,-0.563516564253794,0.2610263741165517,-0.5174381470591003,0.21925042679168316,-0.5216661917055148,0.11828828757270668,8,26,0.3076923076923077
FN,C4,CP17,5,2,-0.4765193162976163,NA,1.0389187454907858,NA,1.1669779200882977,NA,-0.4198288079114812,NA,1,26,0.038461538461538464
FN,C4,CP17,5,3,1.1110060133465092,0.26498291692809783,0.08100183881890509,0.3094427201251285,0.400498560600933,0.7114374299025876,1.6333125353447173,0.062425927551414365,3,26,0.11538461538461539
FN,C4,CP17,5,4,-0.1997252568291308,0.27757830810033557,-0.4656458758708182,0.16075270740202238,-0.10869587918836082,0.10935436034982338,-1.4507535259202295,0.21081043847007086,14,26,0.5384615384615384
FN,C4,CP17,50,1,-0.3153463107402893,0.14183427390261635,-0.43515542522102185,0.1323793288394353,-0.5260431956193344,0.0834813760656446,-0.1805478950592264,0.09894558746625602,47,132,0.3560606060606061
FN,C4,CP17,50,2,0.0454506257614076,0.2129481137717542,-0.4193681152380897,0.12787000420597797,1.3672931911149035,0.12793429442424878,-0.19321824427082798,0.16756023631800748,22,132,0.16666666666666666
FN,C4,CP17,50,3,0.12856929237678233,0.15547578492959369,-0.3077314612490342,0.11507413225411157,0.051229623800354056,0.08696071483093731,0.9949060169723173,0.11450590247262972,48,132,0.36363636363636365
FN,C4,CP17,50,4,-0.11061367116795344,0.22106096090080388,-0.2163172115399057,0.2059946868289786,0.11037959050894686,0.09549898489486819,-1.5962507383223754,0.18060722638043705,15,132,0.11363636363636363
FN,D1,SP17,5,1,0.355444244589568,0.15785453654143447,0.852626549133298,0.3049874938717321,-0.6210595436987214,0.11826434292056198,0.5565966830612235,0.16983274487140346,35,85,0.4117647058823529
FN,D1,SP17,5,2,0.10069846150042142,0.30710525767412744,0.5633080338069602,0.3739822767232733,1.8215518146186347,0.22186634454173476,0.37127109051311613,0.29533790740392735,12,85,0.1411764705882353
FN,D1,SP17,5,3,0.05225832526710524,0.2368804493417825,0.3795709767404001,0.33318447327419437,0.7505449634124562,0.1513537042089739,1.8811799076686504,0.23427469548827237,19,85,0.2235294117647059
FN,D1,SP17,5,4,0.018525916192684993,0.18530764713371117,0.2642429520795826,0.32654313096289006,0.21214308463523548,0.10474255004213853,-1.002456829260079,0.17129318430662085,19,85,0.2235294117647059
FN,D1,SP17,50,1,0.21498929933615235,0.20286791963291123,0.8240440501309231,0.36762885112775906,-0.47715992455805006,0.14434126723943208,0.7195881139829635,0.21515386332511582,24,56,0.42857142857142855
FN,D1,SP17,50,2,0.0022173361190642566,0.29813179721749156,0.23385284729116967,0.4694320012628369,1.7569675345412517,0.19636627732708392,-0.02133829683601985,0.3167356146525527,7,56,0.125
